t,T,TT
245040,26.184851626007895,24.703819829455824
245050,26.18466536274651,24.703800958879533
245060,26.184479120537414,24.703782090081027
245070,26.184292899378182,24.703763223060143
245080,26.184106699266387,24.703744357816706
245090,26.18392052019961,24.703725494350547
245100,26.183734362175425,24.703706632661497
245110,26.183548225191412,24.703687772749387
245120,26.183362109245145,24.703668914614045
245130,26.183176014334204,24.703650058255306
245140,26.182989940456167,24.703631203672995
245150,26.18280388760861,24.703612350866944
245160,26.182617855789115,24.703593499836984
245170,26.182431844995257,24.703574650582944
245180,26.182245855224615,24.703555803104656
245190,26.18205988647477,24.70353695740195
245200,26.181873938743305,24.703518113474654
245210,26.181688012027795,24.703499271322602
245220,26.18150210632582,24.70348043094562
245230,26.18131622163496,24.703461592343544
245240,26.181130357952803,24.7034427555162
245250,26.18094451527692,24.70342392046342
245260,26.180758693604897,24.703405087185033
245270,26.180572892934318,24.70338625568087
245280,26.18038711326276,24.703367425950763
245290,26.18020135458781,24.70334859799454
245300,26.180015616907045,24.703329771812037
245310,26.179829900218053,24.703310947403075
245320,26.179644204518414,24.703292124767493
245330,26.179458529805714,24.70327330390512
245340,26.179272876077533,24.703254484815783
245350,26.17908724333146,24.703235667499317
245360,26.178901631565072,24.70321685195555
245370,26.178716040775956,24.70319803818431
245380,26.1785304709617,24.703179226185433
245390,26.178344922119887,24.70316041595875
245400,26.1781593942481,24.703141607504083
245410,26.177973887343928,24.703122800821273
245420,26.177788401404953,24.703103995910144
245430,26.177602936428766,24.70308519277053
245440,26.17741749241295,24.703066391402263
245450,26.177232069355092,24.70304759180517
245460,26.17704666725278,24.703028793979083
245470,26.176861286103602,24.703009997923832
245480,26.176675925905144,24.70299120363925
245490,26.176490586654992,24.702972411125167
245500,26.17630526835074,24.702953620381415
245510,26.17611997098997,24.70293483140782
245520,26.175934694570273,24.70291604420422
245530,26.175749439089238,24.702897258770438
245540,26.175564204544454,24.702878475106314
245550,26.175378990933513,24.70285969321167
245560,26.175193798254003,24.70284091308634
245570,26.175008626503512,24.70282213473016
245580,26.17482347567963,24.702803358142955
245590,26.174638345779954,24.702784583324558
245600,26.17445323680207,24.702765810274798
245610,26.174268148743568,24.70274703899351
245620,26.174083081602042,24.702728269480524
245630,26.173898035375082,24.702709501735665
245640,26.173713010060283,24.70269073575877
245650,26.173528005655232,24.702671971549673
245660,26.173343022157525,24.7026532091082
245670,26.173158059564756,24.702634448434182
245680,26.172973117874516,24.702615689527452
245690,26.1727881970844,24.702596932387838
245700,26.172603297192,24.702578177015177
245710,26.172418418194916,24.702559423409294
245720,26.172233560090735,24.702540671570027
245730,26.172048722877054,24.7025219214972
245740,26.17186390655147,24.70250317319065
245750,26.171679111111573,24.7024844266502
245760,26.17149433655496,24.702465681875694
245770,26.17130958287923,24.702446938866952
245780,26.171124850081974,24.70242819762381
245790,26.17094013816079,24.7024094581461
245800,26.17075544711328,24.70239072043365
245810,26.170570776937033,24.702371984486295
245820,26.17038612762965,24.702353250303865
245830,26.17020149918873,24.70233451788619
245840,26.17001689161187,24.702315787233104
245850,26.169832304896666,24.702297058344435
245860,26.169647739040716,24.70227833122002
245870,26.16946319404162,24.702259605859684
245880,26.169278669896975,24.70224088226326
245890,26.16909416660438,24.702222160430583
245900,26.168909684161438,24.702203440361483
245910,26.168725222565747,24.70218472205579
245920,26.168540781814905,24.702166005513334
245930,26.16835636190651,24.70214729073395
245940,26.16817196283817,24.70212857771747
245950,26.16798758460748,24.702109866463722
245960,26.167803227212044,24.70209115697254
245970,26.16761889064946,24.702072449243754
245980,26.167434574917333,24.7020537432772
245990,26.167250280013263,24.702035039072705
246000,26.167066005934853,24.702016336630102
246010,26.166881752679704,24.701997635949223
246020,26.166697520245418,24.701978937029896
246030,26.1665133086296,24.70196023987196
246040,26.166329117829854,24.70194154447524
246050,26.16614494784378,24.701922850839573
246060,26.165960798668987,24.701904158964783
246070,26.165776670303075,24.701885468850712
246080,26.16559256274365,24.701866780497184
246090,26.16540847598832,24.701848093904037
246100,26.165224410034682,24.701829409071095
246110,26.165040364880348,24.701810725998197
246120,26.164856340522917,24.701792044685174
246130,26.16467233696,24.701773365131853
246140,26.164488354189203,24.701754687338067
246150,26.16430439220813,24.70173601130365
246160,26.16412045101439,24.701717337028438
246170,26.16393653060559,24.701698664512257
246180,26.163752630979335,24.701679993754937
246190,26.163568752133234,24.701661324756316
246200,26.163384894064894,24.701642657516224
246210,26.16320105677192,24.70162399203449
246220,26.16301724025193,24.70160532831095
246230,26.16283344450252,24.701586666345435
246240,26.162649669521308,24.701568006137773
246250,26.162465915305898,24.701549347687802
246260,26.162282181853904,24.70153069099535
246270,26.16209846916293,24.701512036060254
246280,26.161914777230592,24.70149338288234
246290,26.161731106054496,24.701474731461442
246300,26.161547455632256,24.701456081797396
246310,26.16136382596148,24.701437433890028
246320,26.16118021703978,24.701418787739176
246330,26.16099662886477,24.701400143344667
246340,26.160813061434055,24.701381500706336
246350,26.160629514745253,24.701362859824016
246360,26.160445988795974,24.70134422069754
246370,26.160262483583832,24.701325583326735
246380,26.160078999106435,24.701306947711437
246390,26.1598955353614,24.701288313851478
246400,26.159712092346343,24.70126968174669
246410,26.159528670058872,24.701251051396905
246420,26.159345268496605,24.701232422801958
246430,26.159161887657152,24.701213795961678
246440,26.15897852753813,24.7011951708759
